force,omega,beta1,abs_X1,abs_X3
4.510848842180377183e-01,3.985295253858808229e-01,2.705114438637577501e-01,4.843767769521739042e-01,4.829242487054490984e-26
4.484550574701793302e-01,4.015100630221528077e-01,2.703047967214109448e-01,4.833703183251332747e-01,8.760082130796983321e-27
4.461221123959714929e-01,4.038213845508206723e-01,2.701500892752530247e-01,4.823897179157859427e-01,2.322481919155592038e-27
4.440190220802776588e-01,4.056574073265329372e-01,2.700330687720541856e-01,4.814235745924586585e-01,1.100640499186482776e-27
4.421078835426213161e-01,4.071524419636265990e-01,2.699437583563181753e-01,4.804725688407871509e-01,5.810047695700442765e-28
4.403701067959231996e-01,4.083980434778643476e-01,2.698752336504645077e-01,4.795440069191469479e-01,1.847021073989905684e-27
4.387984616466343857e-01,4.094573880617470296e-01,2.698225791881900815e-01,4.786483862838044057e-01,4.337748211503818574e-28
4.373917573151366311e-01,4.103750413396063390e-01,2.697821881679202116e-01,4.777973201348716392e-01,2.326237315915622500e-23
4.361515239075633432e-01,4.111832292962526725e-01,2.697513210311825449e-01,4.770023017184931713e-01,2.450653792857403788e-23
4.350800468747355598e-01,4.119058395850890841e-01,2.697278297015704984e-01,4.762740020635723992e-01,3.351246301075328660e-23
4.341792809930850039e-01,4.125610078281603532e-01,2.697099824558011893e-01,4.756219177300405887e-01,2.594353730209390463e-23
4.334503156399539536e-01,4.131628241717621441e-01,2.696963494589746380e-01,4.750542463778856805e-01,1.718698125929050019e-23
4.328931647181717968e-01,4.137224869071831068e-01,2.696857249240258714e-01,4.745779012200297409e-01,4.465340355764042483e-23
4.325067261470621482e-01,4.142491028153506560e-01,2.696770718350287033e-01,4.741985977297232258e-01,1.811971307984810261e-23
4.322888074785085077e-01,4.147502578285579000e-01,2.696694810111284757e-01,4.739209635785517349e-01,1.690542488185663722e-23
4.322361511790225874e-01,4.152324359953657451e-01,2.696621397006308540e-01,4.737486370600537122e-01,2.055855361202203827e-23
4.323444187966534180e-01,4.157013371536761870e-01,2.696543068768548213e-01,4.736843303091924917e-01,1.397269292002422968e-23
